Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Wolvertem,1861,1,house,house,325000,,4,179,,1,50,188,,,10645346,as new,https://www.immoweb.be/en/classified/house/for-sale/wolvertem/1861/10645346
,Blankenberge,8370,1,house,house,425000,,4,111,,,,0,2,,10648029,good,https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/10648029
,Brasschaat,2930,1,house,mixed use building,1175000,,2,280,1,,,1009,4,,10645692,as new,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brasschaat/2930/10645692
,Moorsel,3080,1,house,house,469000,,2,110,1,1,340,478,3,,10520706,to be done up,https://www.immoweb.be/en/classified/house/for-sale/moorsel/3080/10520706
,Sint-Gillis-Waas,9170,1,house,country cottage,650000,,2,210,1,1,1360,1920,4,,10646915,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/sint-gillis-waas/9170/10646915
,Waterloo,1410,1,house,villa,595000,,4,193,1,1,638,638,4,,10645898,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10645898
,FRASNES-LEZ - BUISSENAL,7911,1,house,house,525000,,3,320,,,,208,2,,10647577,good,https://www.immoweb.be/en/classified/house/for-sale/frasnes-lez%20-%20buissenal/7911/10647577
,Hoeilaart,1560,1,house,house,695000,,4,,1,1,743,863,4,,10647569,good,https://www.immoweb.be/en/classified/house/for-sale/hoeilaart/1560/10647569
,Bruxelles,1000,1,house,apartment block,3600000,,14,946,1,1,20,565,2,,10646560,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10646560
,Woluwe-Saint-Lambert,1200,1,house,house,1395000,,6,423,1,1,747,870,2,,10647379,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/10647379
,Wavre,1300,1,house,house,695000,,3,224,1,,,1906,4,,10647332,to be done up,https://www.immoweb.be/en/classified/house/for-sale/wavre/1300/10647332
,Etterbeek,1040,1,apartment,duplex,875000,,2,187,1,,,,,,10226346,as new,https://www.immoweb.be/en/classified/duplex/for-sale/etterbeek/1040/10226346
,Bruxelles,1000,1,apartment,loft,900000,,0,378,1,,,,2,,10593653,to be done up,https://www.immoweb.be/en/classified/loft/for-sale/bruxelles/1000/10593653
,Knokke-Heist,8300,1,apartment,apartment,885000,,3,71,1,,,,2,,10622680,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10622680
